                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.26251,                0.49307,                0.17265,                0.92596,                0.99991,                      1,                  0.995,                0.98901,                0.99991,                      1,                  0.995,                0.98342,                0.20249,                0.29471,                0.21955,                 0.4716,              0.0004754,              0.0004754,              0.0004754
                     79,                0.26346,                  0.489,                0.17187,                0.92389,                0.99989,                      1,                  0.995,                0.99042,                0.99989,                      1,                  0.995,                0.98885,                0.21926,                0.29618,                0.22367,                0.49282,              0.0004556,              0.0004556,              0.0004556
                     80,                0.26139,                0.48231,                0.17056,                0.92342,                0.99988,                      1,                  0.995,                0.98957,                0.99988,                      1,                  0.995,                0.98747,                0.19904,                0.29303,                0.23078,                0.46994,              0.0004358,              0.0004358,              0.0004358
                     81,                0.26304,                0.48242,                0.17087,                0.92519,                0.99991,                      1,                  0.995,                0.99002,                0.99991,                      1,                  0.995,                0.98525,                0.21629,                0.29572,                0.26762,                0.48376,               0.000416,               0.000416,               0.000416
                     82,                0.26052,                0.47742,                0.16767,                 0.9224,                0.99988,                      1,                  0.995,                0.99062,                0.99988,                      1,                  0.995,                0.98719,                 0.2178,                0.29051,                0.23842,                0.49045,              0.0003962,              0.0003962,              0.0003962
                     83,                 0.2624,                0.48786,                 0.1703,                0.92342,                0.99982,                      1,                  0.995,                0.98984,                0.99982,                      1,                  0.995,                0.98797,                0.20438,                0.28994,                0.19385,                0.48375,              0.0003764,              0.0003764,              0.0003764
                     84,                0.25277,                0.47585,                0.16304,                0.91753,                0.99991,                      1,                  0.995,                0.99021,                0.99991,                      1,                  0.995,                0.98818,                0.19919,                0.29517,                0.18772,                0.47648,              0.0003566,              0.0003566,              0.0003566
                     85,                0.25626,                0.48628,                0.16557,                0.92143,                0.99987,                      1,                  0.995,                0.99056,                0.99987,                      1,                  0.995,                0.98795,                0.17945,                0.29273,                0.22415,                0.44981,              0.0003368,              0.0003368,              0.0003368
                     86,                 0.2591,                0.48643,                0.16709,                0.92183,                0.99981,                      1,                  0.995,                0.99059,                0.99981,                      1,                  0.995,                0.98852,                0.17714,                 0.2941,                0.17771,                0.44962,               0.000317,               0.000317,               0.000317
                     87,                0.26325,                0.48542,                 0.1692,                0.92304,                0.99985,                      1,                  0.995,                0.99051,                0.99985,                      1,                  0.995,                0.98764,                 0.1955,                0.29524,                0.19426,                0.46514,              0.0002972,              0.0002972,              0.0002972
                     88,                 0.2527,                0.47341,                0.16134,                0.92045,                0.99982,                      1,                  0.995,                 0.9907,                0.99982,                      1,                  0.995,                0.98726,                0.20939,                0.29596,                0.20763,                0.47962,              0.0002774,              0.0002774,              0.0002774
                     89,                 0.2536,                0.48513,                0.16073,                0.92334,                0.99985,                      1,                  0.995,                0.99045,                0.99985,                      1,                  0.995,                0.98861,                0.18371,                0.29314,                0.20288,                0.45826,              0.0002576,              0.0002576,              0.0002576
                     90,                0.25493,                0.47452,                0.16041,                0.92333,                 0.9998,                      1,                  0.995,                0.98989,                 0.9998,                      1,                  0.995,                0.98869,                0.18289,                0.29605,                0.18344,                0.45697,              0.0002378,              0.0002378,              0.0002378
                     91,                0.16021,                0.35599,                0.23086,                0.87723,                0.99993,                      1,                  0.995,                0.99169,                0.99993,                      1,                  0.995,                0.98948,                0.17636,                0.29233,                0.18016,                0.44969,               0.000218,               0.000218,               0.000218
                     92,                 0.1514,                0.34607,                0.18199,                0.87193,                0.99992,                      1,                  0.995,                0.99155,                0.99992,                      1,                  0.995,                0.98908,                 0.1707,                 0.2922,                0.18664,                0.45621,              0.0001982,              0.0001982,              0.0001982
                     93,                0.15039,                0.35637,                0.18819,                0.87368,                0.99988,                      1,                  0.995,                0.99161,                0.99988,                      1,                  0.995,                0.98946,                 0.1662,                0.28793,                 0.1647,                0.44718,              0.0001784,              0.0001784,              0.0001784
                     94,                0.14315,                0.33413,                0.17473,                0.86861,                 0.9999,                      1,                  0.995,                0.99129,                 0.9999,                      1,                  0.995,                0.98899,                0.16564,                0.29066,                0.17033,                0.44736,              0.0001586,              0.0001586,              0.0001586
                     95,                0.14481,                0.33435,                0.17522,                0.86441,                0.99992,                      1,                  0.995,                0.99168,                0.99992,                      1,                  0.995,                 0.9889,                0.16282,                0.29064,                0.15887,                0.43878,              0.0001388,              0.0001388,              0.0001388
                     96,                0.14488,                0.34404,                0.17526,                0.86799,                0.99989,                      1,                  0.995,                0.99175,                0.99989,                      1,                  0.995,                0.98947,                0.16342,                0.28887,                0.15703,                0.43465,               0.000119,               0.000119,               0.000119
                     97,                0.14065,                0.32948,                0.16427,                0.86538,                0.99992,                      1,                  0.995,                0.99193,                0.99992,                      1,                  0.995,                0.99059,                0.16325,                0.28818,                0.15417,                0.43101,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.13997,                0.32878,                0.16796,                0.86774,                0.99993,                      1,                  0.995,                0.99226,                0.99993,                      1,                  0.995,                0.99015,                0.15949,                0.28879,                0.14646,                0.42676,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.13911,                0.32566,                 0.1653,                0.86698,                0.99991,                      1,                  0.995,                0.99227,                0.99991,                      1,                  0.995,                0.99011,                0.16123,                0.29025,                0.13178,                0.42835,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 0.1378,                0.33434,                0.16048,                0.86925,                0.99987,                      1,                  0.995,                0.99222,                0.99987,                      1,                  0.995,                0.99038,                0.16462,                0.28905,                0.13947,                0.43041,               3.98e-05,               3.98e-05,               3.98e-05
